year,state,forest_area_ha,tree_cover_ha,annual_tree_cover_loss_ha,protected_area_pct,population_density_per_km2,avg_annual_precip_mm,land_use_change_index,cum_loss_since_2011_ha
2012,Puducherry,506724,20197,0,13.51,327,1076,0.464,0
2013,Puducherry,508267,33266,0,8.82,296,1669,0.387,0
2014,Puducherry,516414,26457,0,8.47,312,829,0.252,0
2015,Puducherry,499544,22171,1629,8.03,372,1444,0.578,1629
2016,Puducherry,506066,31554,0,12.5,331,1470,0.039,1629
2017,Puducherry,482413,22566,3719,14.66,325,1419,0.343,5348
2018,Puducherry,535314,32009,0,13.22,264,929,0.173,5348
2019,Puducherry,467795,23982,5819,16.04,351,1330,0.481,11167
2020,Puducherry,471123,22499,4203,6.92,261,1280,0.074,15370
2021,Puducherry,468957,23384,3492,10.19,343,1415,0.476,18862
2022,Puducherry,531277,19043,0,14.72,317,1036,0.463,18862
2023,Puducherry,460571,23557,3676,11.01,269,1011,0.39,22538
2024,Puducherry,430829,13947,6453,10.69,359,1130,0.124,28991
2025,Puducherry,397552,27065,6749,8.8,300,1105,0.134,35740
2011,Punjab,1817480,94275,0,22.12,192,637,0.123,0
2012,Punjab,1817154,66771,0,15.74,324,1054,0.268,0
2013,Punjab,1776607,59890,29094,21.2,281,670,0.057,29094
2014,Punjab,1834119,64623,0,15.9,320,420,0.268,29094
2015,Punjab,1912548,123384,0,14.02,310,540,0.189,29094
2016,Punjab,1804451,76630,998,17.92,303,501,0.507,30092
2017,Punjab,1662159,50307,27194,17.64,228,617,0.384,57286
2018,Punjab,1813732,90037,0,16.73,289,509,0.375,57286
2019,Punjab,1758390,71930,7719,11.21,283,448,0.27,65005
2020,Punjab,1627585,36261,28362,10.63,282,581,0.445,93367
2021,Punjab,1987911,73810,0,10.07,352,696,0.282,93367
2022,Punjab,1691484,46898,10734,8.61,236,548,0.197,104101
2023,Punjab,1912491,62839,23918,7.87,311,492,0.226,128019
2024,Punjab,1493479,66946,18786,18.94,260,513,0.442,146805
2025,Punjab,1675094,68508,8062,10.84,256,274,0.506,154867
2011,Rajasthan,414360,16759,0,16.53,314,277,0.287,0
2012,Rajasthan,416488,9028,0,7.92,281,765,0.511,0
2013,Rajasthan,415387,24319,0,14.49,251,664,0.399,0
2014,Rajasthan,412249,20741,407,16.29,172,612,0.303,407
2015,Rajasthan,429522,18453,0,11.61,273,798,0.446,407
2016,Rajasthan,429006,11644,0,26.0,206,594,0.424,407
2017,Rajasthan,405311,20744,1428,16.26,241,763,0.422,1835
2018,Rajasthan,384742,24296,5541,15.32,253,799,0.3,7376
2019,Rajasthan,422459,28018,0,10.41,302,496,0.217,7376
2020,Rajasthan,412322,28646,0,10.54,247,442,0.191,7376
2021,Rajasthan,377560,18811,4527,10.22,284,532,0.233,11903
2022,Rajasthan,423254,27714,0,10.6,299,532,0.056,11903
2023,Rajasthan,348355,7261,7111,8.77,256,644,0.171,19014
2024,Rajasthan,390821,21636,1297,13.54,257,496,0.451,20311
2025,Rajasthan,419039,15336,0,10.39,255,478,0.546,20311
2011,Sikkim,3037307,153645,783,21.76,352,916,0.261,783
2012,Sikkim,3051378,158846,0,18.37,250,702,0.029,783
2013,Sikkim,3029715,125779,728,9.71,295,927,0.47,1511
2014,Sikkim,3037994,126456,0,13.77,241,1142,0.082,1511
2015,Sikkim,2910032,108826,32592,11.45,349,1808,0.466,34103
2016,Sikkim,2870206,97037,40221,13.58,329,853,0.191,74324
2017,Sikkim,2684842,180788,45999,12.43,302,1865,0.4,120323
2018,Sikkim,2895211,67605,26647,11.08,278,901,0.413,146970
2019,Sikkim,2763058,60822,37801,18.52,290,1377,0.536,184771
2020,Sikkim,3287959,146255,38493,14.05,314,833,0.474,223264
2021,Sikkim,2615442,160064,34898,20.53,262,1397,0.598,258162
2022,Sikkim,2350843,94697,48458,13.47,347,650,0.327,306620
2023,Sikkim,2864824,197305,17371,10.52,273,1523,0.198,323991
2024,Sikkim,3180719,123841,0,17.95,307,1239,0.111,323991
2025,Sikkim,3133586,145332,0,11.45,327,611,0.075,323991
2011,Tamil Nadu,1088260,31189,32993,7.42,373,1729,0.288,32993
2012,Tamil Nadu,1089063,49328,24441,6.91,301,1490,0.314,57434
2013,Tamil Nadu,1077155,53858,4584,0.42,314,1391,0.316,62018
2014,Tamil Nadu,1077825,24691,3797,19.99,267,1035,0.272,65815
2015,Tamil Nadu,1050780,56541,8610,14.16,275,1409,0.143,74425
2016,Tamil Nadu,1059685,62994,6912,16.91,284,1502,0.132,81337
2017,Tamil Nadu,1076239,35144,1058,18.16,279,1425,0.18,82395
2018,Tamil Nadu,1061503,72876,3808,11.33,210,1014,0.119,86203
2019,Tamil Nadu,1134945,25568,0,1.9,266,1462,0.424,86203
2020,Tamil Nadu,1057225,63302,3132,16.62,293,1126,0.176,89335
2021,Tamil Nadu,1041050,52563,3538,11.78,269,1094,0.122,92873
2022,Tamil Nadu,1267202,64078,0,10.56,239,859,0.025,92873
2023,Tamil Nadu,1002669,51621,6592,10.84,287,1490,0.302,99465
2024,Tamil Nadu,1235302,73958,0,6.09,288,1638,0.019,99465
2025,Tamil Nadu,943634,45382,12007,18.14,269,1439,0.118,111472
2011,Telangana,1354734,38131,0,17.22,298,1045,0.225,0
2012,Telangana,1373079,56579,0,19.4,290,1512,0.562,0
2013,Telangana,1403107,77343,16176,12.56,251,1215,0.23,16176
2014,Telangana,1349152,94217,733,9.03,342,606,0.009,16909
2015,Telangana,1265066,38751,16718,13.3,320,1271,0.271,33627
2016,Telangana,1372931,73203,0,8.59,299,1278,0.198,33627
2017,Telangana,1333509,87648,2489,21.06,270,1206,0.394,36116
2018,Telangana,1312155,49554,6242,9.77,324,977,0.288,42358
2019,Telangana,1177528,74813,16722,9.62,149,1050,0.25,59080
2020,Telangana,1303350,40707,4794,9.68,348,978,0.453,63874
2021,Telangana,1406997,66598,0,8.63,225,1263,0.222,63874
2022,Telangana,1323332,49100,2157,12.8,217,1265,0.571,66031
2023,Telangana,1491203,84392,0,9.6,304,1418,0.479,66031
2024,Telangana,1395107,36306,0,14.62,295,1083,0.143,66031
2025,Telangana,1196299,72852,14491,16.15,308,1116,0.196,80522
2011,Tripura,8163151,547528,0,6.28,245,2562,0.453,0
2012,Tripura,8209707,166095,0,13.12,310,2521,0.171,0
2013,Tripura,8113523,441969,23910,10.72,339,2777,0.339,23910
2014,Tripura,7714838,296156,154210,14.91,313,2728,0.275,178120
2015,Tripura,8133692,435450,0,14.83,184,1816,0.199,178120
2016,Tripura,7905607,536316,51189,13.79,197,2437,0.162,229309
2017,Tripura,8256241,202852,0,12.12,235,2225,0.079,229309
2018,Tripura,7864347,276203,42436,11.79,281,2181,0.108,271745
2019,Tripura,8719365,505793,0,17.6,229,2096,0.62,271745
2020,Tripura,8144767,187173,0,22.43,158,2650,0.419,271745
2021,Tripura,8537180,191918,0,17.25,306,2250,0.184,271745
2022,Tripura,8137026,219476,0,24.19,300,2272,0.161,271745
2023,Tripura,8589751,348289,0,17.18,215,2423,0.178,271745
2024,Tripura,7445233,353429,57386,12.34,202,2384,0.207,329131
2025,Tripura,7889853,193040,12925,20.91,232,3072,0.109,342056
2011,Uttar Pradesh,593121,32524,4234,10.52,338,1451,0.385,4234
2012,Uttar Pradesh,591001,15982,1433,4.78,338,1137,0.871,5667
2013,Uttar Pradesh,599847,22177,0,15.47,303,1580,0.349,5667
2014,Uttar Pradesh,602776,16187,0,8.31,297,1431,0.589,5667
2015,Uttar Pradesh,586036,12952,1631,7.58,333,1025,0.57,7298
2016,Uttar Pradesh,618360,38658,0,10.69,349,1169,0.698,7298
2017,Uttar Pradesh,579355,31078,1456,14.33,320,639,0.423,8754
2018,Uttar Pradesh,559629,24052,4254,12.17,291,945,0.759,13008
2019,Uttar Pradesh,647507,19212,0,8.0,247,899,0.298,13008
2020,Uttar Pradesh,645401,28520,0,6.45,372,1943,0.584,13008
2021,Uttar Pradesh,557881,20966,4352,0.0,332,1433,0.537,17360
2022,Uttar Pradesh,568815,38870,2489,16.09,283,1176,0.389,19849
2023,Uttar Pradesh,586303,16490,0,2.19,284,1614,0.356,19849
2024,Uttar Pradesh,604120,18350,0,14.69,294,746,0.451,19849
2025,Uttar Pradesh,564024,34046,1700,11.32,324,1289,0.298,21549
2011,Uttarakhand,1527509,58963,1448,13.34,371,1024,0.185,1448
2012,Uttarakhand,1512800,102951,12007,15.34,423,1223,0.267,13455
2013,Uttarakhand,1513934,34847,5220,13.78,278,1369,0.408,18675
2014,Uttarakhand,1519646,41793,1156,8.09,179,1022,0.378,19831
2015,Uttarakhand,1473393,90569,12059,18.19,311,941,0.133,31890
2016,Uttarakhand,1539051,87617,0,8.25,371,895,0.307,31890
2017,Uttarakhand,1579455,36995,0,18.12,412,885,0.056,31890
2018,Uttarakhand,1552816,55425,0,14.6,235,1000,0.525,31890
2019,Uttarakhand,1606425,64015,0,15.37,364,743,0.225,31890
2020,Uttarakhand,1582289,33639,0,8.69,213,1373,0.212,31890
2021,Uttarakhand,1681189,101299,0,16.31,288,972,0.093,31890
2022,Uttarakhand,1538671,87432,0,4.89,233,1161,0.052,31890
2023,Uttarakhand,1339827,61499,10657,24.12,271,1890,0.105,42547
2024,Uttarakhand,1546769,99089,0,8.06,350,1082,0.548,42547
2025,Uttarakhand,1341720,58841,17603,4.71,259,473,0.319,60150
2011,West Bengal,1759740,113989,49826,17.62,279,954,0.63,49826
2012,West Bengal,1749033,38176,10482,10.14,362,136,0.263,60308
2013,West Bengal,1803319,56665,0,15.05,237,1425,0.376,60308
2014,West Bengal,1800323,75397,0,7.27,401,957,0.545,60308
2015,West Bengal,1645988,82164,26616,11.39,340,1884,0.463,86924
2016,West Bengal,1628032,100570,19097,13.47,282,802,0.215,106021
2017,West Bengal,1798334,92636,0,4.79,191,1415,0.549,106021
2018,West Bengal,1700324,107102,7454,18.05,371,1090,0.453,113475
2019,West Bengal,1807225,88355,0,18.45,407,952,0.38,113475
2020,West Bengal,1703560,45415,4464,25.08,310,2204,0.25,117939
2021,West Bengal,1582199,90926,18750,15.31,343,862,0.457,136689
2022,West Bengal,1589104,64447,15120,18.67,342,888,0.48,151809
2023,West Bengal,1620667,83304,13849,9.21,323,1041,0.289,165658
2024,West Bengal,1975942,76685,0,10.32,350,2017,0.48,165658
2025,West Bengal,1968257,67594,0,10.31,253,1061,0.546,165658
